//Type   Slot   Skill   Width   Height   HaveSerial   HaveOption   DropItem   Name                                 Level   DamageMin   DamageMax   AttackSpeed   Durability   MagicDurability   MagicDamageRate   ReqLevel   ReqStrength   ReqDexterity   ReqEnergy   ReqVitality   ReqLeadership   None   DW      DK      FE      MG      DL      SU      RF
0
122       0      22      1       4        1            1            0          "Especial 01x Sword"                137     115         126         40            90           0                 0                 380        193           53             0           0             0               0      0       2       0       1       1       0       0
123       0      22      1       4        1            1            0          "Especial 02x Sword"                137     115         126         40            90           0                 0                 380        193           53             0           0             0               0      0       2       0       1       1       0       0
124       0      22      1       4        1            1            0          "Especial 03x Sword"                137     115         126         40            90           0                 0                 380        193           53             0           0             0               0      0       2       0       1       1       0       0
125       0      22      1       4        1            1            0          "Especial 06 Sword"                 137     115         126         40            90           0                 0                 380        193           53             0           0             0               0      0       2       0       1       1       0       0
126       0      22      1       4        1            1            0          "Especial 07 Sword"                 137     115         126         40            90           0                 0                 380        193           53             0           0             0               0      0       2       0       1       1       0       0
127       0      22      1       4        1            1            0          "Especial 08 Sword"                 137     115         126         40            90           0                 0                 380        193           53             0           0             0               0      0       2       0       1       1       0       0
128       0      22      1       4        1            1            0          "Fly Sword"                         137     115         126         40            90           0                 0                 380        193           53             0           0             0               0      0       2       0       1       1       0       0
129       0      22      1       4        1            1            0          "GO Sword"                          137     115         126         40            90           0                 0                 380        193           53             0           0             0               0      0       2       0       1       1       0       0
130       0      22      1       4        1            1            0          "Hades Sword"                       137     115         126         40            90           0                 0                 380        193           53             0           0             0               0      0       2       0       1       1       0       0

131       0      22      1       4        1            1            0          "Sky Sword"                         137     115         126         40            90           0                 0                 380        193           53             0           0             0               0      0       2       0       1       1       0       0
132       0      22      1       4        1            1            0          "Illusion 01 Sword"                 137     115         126         40            90           0                 0                 380        193           53             0           0             0               0      0       2       0       1       1       0       0
133       0      22      1       4        1            1            0          "Illusion 02 Sword"                 137     115         126         40            90           0                 0                 380        193           53             0           0             0               0      0       2       0       1       1       0       0
134       0      22      1       4        1            1            0          "Love Sword"                        137     115         126         40            90           0                 0                 380        193           53             0           0             0               0      0       2       0       1       1       0       0
135       0      22      1       4        1            1            0          "Majestyc Sword"                    137     115         126         40            90           0                 0                 380        193           53             0           0             0               0      0       2       0       1       1       0       0
136       0      22      1       4        1            1            0          "Master Sword"                      137     115         126         40            90           0                 0                 380        193           53             0           0             0               0      0       2       0       1       1       0       0
137       0      22      1       4        1            1            0          "New Sword"                         137     115         126         40            90           0                 0                 380        193           53             0           0             0               0      0       2       0       1       1       0       0
138       0      22      1       4        1            1            0          "Poseidon Sword"                    137     115         126         40            90           0                 0                 380        193           53             0           0             0               0      0       2       0       1       1       0       0
139       0      22      1       4        1            1            0          "Santa Sword"                       137     115         126         40            90           0                 0                 380        193           53             0           0             0               0      0       2       0       1       1       0       0
140       0      22      1       4        1            1            0          "Sword of Batle"                    137     115         126         40            90           0                 0                 380        193           53             0           0             0               0      0       2       0       1       1       0       0
141       0      22      1       4        1            1            0          "Sword of Blade"                    137     115         126         40            90           0                 0                 380        193           53             0           0             0               0      0       2       0       1       1       0       0
142       0      22      1       4        1            1            0          "Sword of God"                      137     115         126         40            90           0                 0                 380        193           53             0           0             0               0      0       2       0       1       1       0       0
143       0      22      1       4        1            1            0          "Sword of Power"                    137     115         126         40            90           0                 0                 380        193           53             0           0             0               0      0       2       0       1       1       0       0
144       0      22      1       4        1            1            0          "Sword of Steel"                    137     115         126         40            90           0                 0                 380        193           53             0           0             0               0      0       2       0       1       1       0       0
145       0      22      1       4        1            1            0          "Sword of Style"                    137     115         126         40            90           0                 0                 380        193           53             0           0             0               0      0       2       0       1       1       0       0
146       0      22      1       4        1            1            0          "Sword of Style Renew"              137     115         126         40            90           0                 0                 380        193           53             0           0             0               0      0       2       0       1       1       0       0
147       0      22      1       4        1            1            0          "Sword of War"                      137     115         126         40            90           0                 0                 380        193           53             0           0             0               0      0       2       0       1       1       0       0
148       0      22      1       4        1            1            0          "Sword of xMas"                     137     115         126         40            90           0                 0                 380        193           53             0           0             0               0      0       2       0       1       1       0       0
149       0      22      1       4        1            1            0          "Sword of Warlock"                  137     115         126         40            90           0                 0                 380        193           53             0           0             0               0      0       2       0       1       1       0       0
150       0      22      1       2        1            1            0          "Kriss Black"                       137     115         126         40            90           0                 0                 380        193           53             0           0             0               0      0       2       0       1       1       0       0

151       0      22      1       4        1            1            0          "Christmas Black Sword"             137     115         126         40            90           0                 0                 380        193           53             0           0             0               0      0       2       0       1       1       0       0
153       0      22      1       4        1            1            0          "Sword of Style Cup"                137     115         126         40            90           0                 0                 380        193           53             0           0             0               0      0       2       0       1       1       0       0
154       0      22      1       4        1            1            0          "Sword of Angel"                    137     115         126         40            90           0                 0                 380        193           53             0           0             0               0      0       2       0       1       1       0       0
155       0      22      1       4        1            1            0          "Sword of Ghost"                    137     115         126         40            90           0                 0                 380        193           53             0           0             0               0      0       2       0       1       1       0       0
156       0      22      1       4        1            1            0          "Sword of Rudolph"                  137     115         126         40            90           0                 0                 380        193           53             0           0             0               0      0       2       0       1       1       0       0
157       0      22      1       4        1            1            0          "Sword of War 2.0"                  137     115         126         40            90           0                 0                 380        193           53             0           0             0               0      0       2       0       1       1       0       0
158       0      22      1       4        1            1            0          "Sword of Dark Raven"               137     115         126         40            90           0                 0                 380        193           53             0           0             0               0      0       2       0       1       1       0       0
159       0      22      1       4        1            1            0          "Sword of Light Hawk"               137     115         126         40            90           0                 0                 380        193           53             0           0             0               0      0       2       0       1       1       0       0
160       0      22      1       4        1            1            0          "Sword of Snow"                     137     115         126         40            90           0                 0                 380        193           53             0           0             0               0      0       2       0       1       1       0       0

161       0      22      1       4        1            1            0          "Sword of Majestick 2.0"            137     115         126         40            90           0                 0                 380        193           53             0           0             0               0      0       2       0       1       1       0       0
162       0      22      1       4        1            1            0          "Sword of Apocalipse 2.0"           137     115         126         40            90           0                 0                 380        193           53             0           0             0               0      0       2       0       1       1       0       0
163       0      22      1       4        1            1            0          "Sword of Holly"           	   137     115         126         40            90           0                 0                 380        193           53             0           0             0               0      0       2       0       1       1       0       0
164       0      22      1       4        1            1            0          "Sword of Horus"                    137     115         126         40            90           0                 0                 380        193           53             0           0             0               0      0       2       0       1       1       0       0
165       0      22      1       4        1            1            0          "Sword of Zeus"                     137     115         126         40            90           0                 0                 380        193           53             0           0             0               0      0       2       0       1       1       0       0
166       0      22      1       4        1            1            0          "Sword of Armagedom"                137     115         126         40            90           0                 0                 380        193           53             0           0             0               0      0       2       0       1       1       0       0
167       0      22      1       4        1            1            0          "Sword of Blood Vampire"            137     115         126         40            90           0                 0                 380        193           53             0           0             0               0      0       2       0       1       1       0       0
168       0      22      1       4        1            1            0          "Sword of Halloween"                137     115         126         40            90           0                 0                 380        193           53             0           0             0               0      0       2       0       1       1       0       0
169       240    22      1      4        1            1            0          "Sword of Dark Pirate"              137     115         126         40            90           0                 0                 380        193           53             0           0             0                0      0       2       0       1       1       0       0
170       0      22      1      4        1            1            0          "Sword of Rabbit"             137     115         126         40            90           0                 0                 380        193           53             0           0             0                0      2       2       0       0       1       0       0

171       0      22      1       4        1            1            0          "Sword of Manticore"                137     115         126         40            90           0                 0                 380        193           53             0           0             0               0      0       2       0       1       1       0       0
172       0      22      1       4        1            1            0          "Sword of Steel 2.0"                137     115         126         40            90           0                 0                 380        193           53             0           0             0               0      0       2       0       1       1       0       0
173       0      22      1       4        1            1            0          "Sword of Gift Christmas"           137     115         126         40            90           0                 0                 380        193           53             0           0             0               0      0       2       0       1       1       0       0
174       0      22      1       4        1            1            0          "Sword of Abbadon"                  137     115         126         40            90           0                 0                 380        193           53             0           0             0               0      0       2       0       1       1       0       0
175       0      22      1       4        1            1            0          "Sword of God 2.0"                  137     115         126         40            90           0                 0                 380        193           53             0           0             0               0      0       2       0       1       1       0       0
176       0      22      1       4        1            1            0          "Sword of Gold"                     137     115         126         40            90           0                 0                 380        193           53             0           0             0               0      0       2       0       1       1       0       0
177       0      22      1       4        1            1            0          "Sword of Diamond"                  137     115         126         40            90           0                 0                 380        193           53             0           0             0               0      0       2       0       1       1       0       0
178       0      22      1       4        1            1            0          "Sword of Ice Dragon"               137     115         126         40            90           0                 0                 380        193           53             0           0             0               0      0       2       0       1       1       0       0
179       0      22      1       4        1            1            0          "Sword of Necromancer"              137     115         126         40            90           0                 0                 380        193           53             0           0             0               0      0       2       0       1       1       0       0

180       0      22      1       4        1            1            0          "Sword of Cold"                     137     115         126         40            90           0                 0                 380        193           53             0           0             0               0      0       2       0       1       1       0       0
181       0      22      1       4        1            1            0          "Sword of Death 3.0 [RL]"           137     115         126         40            90           0                 0                 380        193           53             0           0             0               0      0       2       0       1       1       0       0
182       0      22      1       4        1            1            0          "Sword of Holly Night"              137     115         126         40            90           0                 0                 380        193           53             0           0             0               0      0       2       0       1       1       0       0
183       0      22      1       4        1            1            0          "Sword of Snow Black"              137     115         126         40            90           0                 0                 380        193           53             0           0             0               0      0       2       0       1       1       0       0
184       0      22      1       4        1            1            0          "Sword of Frost"                   137     115         126         40            90           0                 0                 380        193           53             0           0             0               0      0       2       0       1       1       0       0
185       0      22      1       4        1            1            0          "Sword of Frost Black"                   137     115         126         40            90           0                 0                 380        193           53             0           0             0               0      0       2       0       1       1       0       0
186       0      22      1       4        1            1            0          "Sword of Tail Fox"                   137     115         126         40            90           0                 0                 380        193           53             0           0             0               0      0       2       0       1       1       0       0
end

1
//Type   Slot   Skill   Width   Height   HaveSerial   HaveOption   DropItem   Name                                 Level   DamageMin   DamageMax   AttackSpeed   Durability   MagicDurability   MagicDamageRate   ReqLevel   ReqStrength   ReqDexterity   ReqEnergy   ReqVitality   ReqLeadership   None   DW      DK      FE      MG      DL      SU      RF
0        0      0       1       3        1            1            1          "Small Axe"                          1       1           6           20            18           0                 0                 0          50            0              0           0             0               0      1       1       1       1       1       1       1
1        0      0       1       3        1            1            1          "Hand Axe"                           4       4           9           30            20           0                 0                 0          70            0              0           0             0               0      1       1       1       1       1       1       1
2        0      19      1       3        1            1            1          "Double Axe"                         14      14          24          20            26           0                 0                 0          90            0              0           0             0               0      0       1       0       1       1       0       0
3        0      19      1       3        1            1            1          "Tomahawk"                           18      18          28          30            28           0                 0                 0          100           0              0           0             0               0      0       1       0       1       1       0       1
4        0      0       1       3        1            1            1          "Elven Axe"                          26      26          38          40            32           0                 0                 0          50            70             0           0             0               0      1       0       1       1       1       1       0
5        0      19      2       3        1            1            1          "Battle Axe"                         30      36          44          20            36           0                 0                 0          120           0              0           0             0               0      0       1       1       1       1       0       0
6        0      19      2       3        1            1            1          "Nikea Axe"                          34      38          50          30            44           0                 0                 0          130           0              0           0             0               0      0       1       1       1       1       0       0
7        0      19      2       3        1            1            1          "Larkan Axe"                         46      54          67          25            55           0                 0                 0          140           0              0           0             0               0      0       1       0       1       1       0       0
8        0      19      2       3        1            1            1          "Crescent Axe"                       54      69          89          30            65           0                 0                 0          100           40             0           0             0               0      1       1       0       1       1       0       0
9        0      19      1       4        1            1            0          "Knife of Death 3.0 [RL]"            54      69          89          30            65           0                 0                 0          100           40             0           0             0               0      1       1       0       1       1       0       0
10        0      19      1       4        1            1           0          "Blood Vampire Axe"                 54      69          89          30            65           0                 0                 0          100           40             0           0             0               0      1       1       0       1       1       0       0
11        0      19      1       4        1            1           0          "Hammer of Holly"                   54      69          89          30            65           0                 0                 0          100           40             0           0             0               0      1       1       0       1       1       0       0
